Run no.,Number of Epochs,Batch_size,Train time,Cost on train,Validation time,Cost on validation,Learning Rate,Length coeff,Area coeff,Roughness coeff,Regularisation ceoff
5,10000,32,190.92253398895264,0.66291612386703491,1.7093470096588135,2.754772846288291,0.0004,40.0,500.0,2.0,0.4
8,10000,128,162.32550597190857,0.35622668266296387,1.6858160495758057,1.2652293301046003,0.0004,30.0,500.0,2.0,0.4
11,10000,128,163.87160205841064,1.2222440242767334,1.4866180419921875,1.5654209318964136,4e-05,40.0,500.0,2.0,0.4
5,15000,32,100.62769985198975,0.5815126895904541,1.1451609134674072,2.7270684488072368,0.0004,40.0,500.0,2.0,0.4
8,15000,128,87.16124296188354,0.30401152372360229,1.6912851333618164,0.80661717249039389,0.0004,30.0,500.0,2.0,0.4
11,15000,128,89.0559139251709,0.54673457145690918,1.4855539798736572,1.0536790420869357,4e-05,40.0,500.0,2.0,0.4
6,10000,128,160.23008608818054,11.879669189453125,1.4919710159301758,12.298922977372184,0.0004,40.0,500.0,2.0,0.4
9,10000,128,159.28658485412598,0.4264758825302124,1.6923828125,1.0039488814507951,0.0004,40.0,500.0,4.0,0.4
12,10000,128,160.8172619342804,0.85146939754486084,1.1435678005218506,1.4648493786023056,4e-05,40.0,500.0,2.0,0.6
6,15000,128,88.84893608093262,8.4097003936767578,1.493243932723999,8.7992790385846948,0.0004,40.0,500.0,2.0,0.4
9,15000,128,87.46838593482971,0.34929138422012329,1.4747068881988525,0.67655987331892409,0.0004,40.0,500.0,4.0,0.4
12,15000,128,88.52611804008484,0.57222390174865723,1.6964659690856934,0.89327971985403987,4e-05,40.0,500.0,2.0,0.6
10,10000,128,159.05344414710999,0.46249666810035706,1.4792101383209229,2.1960390066309103,0.0004,40.0,1000.0,2.0,0.4
13,10000,128,160.2087140083313,2.8199093341827393,1.482342004776001,3.5131254836428649,0.0004,40.0,500.0,2.0,0.8
7,10000,256,219.05067682266235,4.0861053466796875,1.4910240173339844,4.5397621144198954,0.0004,40.0,500.0,2.0,0.4
10,15000,128,87.34132599830627,0.39178502559661865,1.691957950592041,2.0932413411249868,0.0004,40.0,1000.0,2.0,0.4
13,15000,128,87.80844902992249,2.6669268608093262,1.1457140445709229,2.7394861878268757,0.0004,40.0,500.0,2.0,0.8
7,15000,256,118.2470588684082,3.4081852436065674,1.491070032119751,3.5821329817750027,0.0004,40.0,500.0,2.0,0.4
